Ch,Ct
0,2062
1,2154
2,2105
3,2109
4,2028
5,2196
6,2198
7,2139
8,2157
9,2200
10,2134
11,2173
12,2071
13,2100
14,2153
15,2129
16,2113
17,2130
18,2080
19,2182
20,2192
21,2145
22,2059
23,2183
24,2210
25,2152
26,2174
27,2123
28,2122
29,2129
30,2133
31,2202
32,2146
33,2200
34,2097
35,2157
36,2202
37,2174
38,2074
39,2111
40,2072
41,2152
42,2198
43,2123
44,2169
45,2208
46,2204
47,2196
48,2218
49,2101
50,2219
51,2091
52,2139
53,2108
54,2236
55,2204
56,2178
57,2192
58,2120
59,2193
60,2137
61,2124
62,2120
63,2138
64,2096
65,2146
66,2163
67,2156
68,2242
69,2157
70,2199
71,2162
72,2168
73,2237
74,2139
75,2086
76,2114
77,2217
78,2130
79,2127
80,2194
81,2161
82,2137
83,2190
84,2149
85,2129
86,2198
87,2201
88,2203
89,2160
90,2166
91,2184
92,2181
93,2057
94,2154
95,2220
96,2190
97,2126
98,2126
99,2118
100,2249
101,2127
102,2094
103,2123
104,2262
105,2225
106,2112
107,2214
108,2184
109,2196
110,2193
111,2162
112,2207
113,2138
114,2060
115,2193
116,2220
117,2234
118,2127
119,2156
120,2161
121,2078
122,2169
123,2171
124,2095
125,2137
126,2154
127,2123
128,2085
129,2119
130,2041
131,2165
132,2118
133,2079
134,2099
135,2168
136,2071
137,2091
138,2005
139,2139
140,2104
141,2124
142,2058
143,2162
144,2143
145,2070
146,2087
147,2138
148,1996
149,2067
150,2039
151,1969
152,2013
153,1977
154,1945
155,1954
156,1890
157,1883
158,1908
159,1864
160,1813
161,1727
162,1751
163,1712
164,1700
165,1557
166,1599
167,1638
168,1473
169,1444
170,1422
171,1338
172,1355
173,1241
174,1248
175,1218
176,1167
177,1164
178,1200
179,1139
180,1189
181,1191
182,1267
183,1247
184,1308
185,1364
186,1431
187,1431
188,1543
189,1567
190,1590
191,1576
192,1681
193,1733
194,1702
195,1832
196,1800
197,1863
198,1838
199,1894
200,1901
201,1980
202,2043
203,2011
204,2026
205,2063
206,2114
207,1995
208,2058
209,2094
210,2091
211,2029
212,2132
213,2040
214,2033
215,2063
216,2114
217,2123
218,2059
219,2142
220,2136
221,2101
222,2106
223,2147
224,2182
225,2141
226,2106
227,2163
228,2061
229,2150
230,2207
231,2163
232,2297
233,2161
234,2144
235,2209
236,2090
237,2188
238,2036
239,2173
240,2075
241,2185
242,2216
243,2146
244,2187
245,2102
246,2101
247,2228
248,2143
249,2144
250,2208
251,2190
252,2191
253,2087
254,2186
255,2086
256,2157
257,2208
258,2171
259,2173
260,2197
261,2145
262,2184
263,2171
264,2213
265,2132
266,2138
267,2194
