Ch,Ct
0,240993
1,241327
2,241732
3,242126
4,241553
5,241161
6,241539
7,242264
8,242179
9,242237
10,242419
11,241086
12,242450
13,242194
14,241922
15,242307
16,241671
17,243053
18,243223
19,242380
20,241989
21,242673
22,243285
23,243131
24,242808
25,243401
26,243097
27,242889
28,243591
29,243831
30,242854
31,242830
32,244257
33,244047
34,243063
35,243550
36,244317
37,243425
38,243665
39,244579
40,243550
41,244453
42,243675
43,244874
44,243531
45,243964
46,244654
47,244280
48,244056
49,244439
50,244531
51,244141
52,245088
53,244579
54,244305
55,243652
56,245455
57,245137
58,244518
59,245116
60,244390
61,244860
62,246166
63,245536
64,244722
65,245967
66,244579
67,245730
68,245576
69,244586
70,245148
71,246081
72,245557
73,245862
74,245636
75,246228
76,245777
77,245378
78,245300
79,245675
80,245669
81,245873
82,246413
83,245505
84,246401
85,245805
86,245538
87,245777
88,244640
89,244729
90,245069
91,244736
92,242924
93,243271
94,243183
95,243307
96,242974
97,242338
98,241198
99,240264
100,240368
101,238704
102,236292
103,236206
104,234399
105,232815
106,231996
107,230374
108,230045
109,229678
110,228905
111,229730
112,230447
113,231298
114,233122
115,235584
116,236984
117,238917
118,239536
119,241252
120,242022
121,243237
122,244671
123,244380
124,245743
125,246268
126,246627
127,246193
128,246843
129,247459
130,248116
131,246865
132,247322
133,247793
134,248350
135,247409
136,248537
137,248305
138,248272
139,249306
140,248492
141,248475
142,250450
143,248517
144,249445
145,249181
146,249338
147,249525
148,249894
149,249924
150,248842
151,250243
152,250683
153,249372
154,250687
155,250171
156,250650
157,250049
158,250026
159,249996
160,250393
161,250787
162,251112
163,250421
164,250348
165,250881
166,251017
167,251330
168,250590
169,250972
170,250767
171,250822
172,249907
173,250407
174,251650
175,251370
176,251064
177,251460
178,251282
179,250903
180,250828
181,251381
182,252262
183,251914
184,252154
185,251497
186,252088
187,250859
188,251533
189,252019
190,252496
191,251663
192,253300
193,252743
194,251375
195,252601
196,252574
197,252380
198,251898
199,252830
200,252709
201,252052
202,252859
203,252203
204,252447
205,252930
206,251800
207,253301
208,252853
209,253258
210,253158
211,251768
212,253184
213,253169
214,253256
215,253629
216,253488
217,253539
218,253327
219,253362
220,252892
221,252541
222,253295
223,253532
224,252641
225,253552
226,253312
227,253124
228,253160
