Ch,Ct
0,32662
1,33006
2,32803
3,33004
4,32683
5,32844
6,32606
7,33188
8,32663
9,32499
10,33030
11,32868
12,32979
13,32847
14,32609
15,32775
16,32795
17,32954
18,32836
19,32812
20,32345
21,32806
22,33109
23,33193
24,32834
25,33142
26,33018
27,32339
28,32602
29,32788
30,33008
31,33042
32,33148
33,33389
34,32848
35,33160
36,32829
37,32698
38,33061
39,33235
40,32665
41,32983
42,33070
43,32875
44,32993
45,32881
46,33169
47,33051
48,32827
49,32922
50,32735
51,32852
52,33147
53,32960
54,33042
55,32922
56,33278
57,32919
58,32871
59,33078
60,33138
61,33000
62,32889
63,32987
64,33066
65,33038
66,32805
67,33042
68,33012
69,33007
70,32949
71,32888
72,33379
73,32962
74,33082
75,33031
76,32944
77,32666
78,32998
79,32981
80,33518
81,33053
82,33208
83,33142
84,32972
85,32803
86,33229
87,33168
88,33047
89,33145
90,32966
91,33290
92,32985
93,33564
94,33002
95,32950
96,33379
97,32824
98,33002
99,33103
100,33151
101,32869
102,32978
103,33058
104,33091
105,33308
106,33128
107,32935
108,33215
109,33181
110,32962
111,33124
112,33091
113,33043
114,33187
115,33420
116,33153
117,32890
118,33074
119,32891
120,33109
121,33100
122,33427
123,33173
124,33065
125,33371
126,33113
127,33232
128,33430
129,33168
130,33315
131,33477
132,33181
133,33177
134,33251
135,32944
136,33330
137,33285
138,33231
139,33275
140,33269
141,33268
142,33212
143,32910
144,33057
145,33387
146,33288
147,33153
148,33467
149,33179
150,33389
151,32867
152,33013
153,33519
154,33336
155,33719
156,33061
157,33051
158,33133
159,33296
160,33444
161,33312
162,33032
163,33118
164,33347
165,33114
166,33365
167,33094
168,33297
169,33398
170,33394
171,33345
172,33300
173,33337
174,33221
175,33157
176,33394
177,33388
178,33099
179,33116
180,33617
181,33108
182,33318
183,33043
184,33686
185,33542
186,33387
187,33155
188,33054
189,33043
190,33323
191,33178
192,33585
193,32967
194,33095
195,33040
196,33799
197,33150
198,33053
199,33040
200,33493
201,33436
202,33411
203,33322
204,33187
205,33211
206,33119
207,33358
208,33483
209,33669
210,32930
211,33072
212,33126
213,33068
214,33588
215,33567
216,33103
217,33338
218,33038
219,33611
220,32924
221,33190
222,33113
223,33041
224,33286
225,33077
226,33421
227,33600
228,33217
229,33154
230,33414
231,34012
232,33031
233,33521
234,33717
235,33553
236,33568
237,33466
238,33515
239,33339
240,33044
241,33474
242,33227
243,33189
244,33403
245,33230
246,33615
247,33109
248,33243
249,33428
250,33163
251,33525
252,33276
253,33480
254,33272
255,33343
256,33641
257,33222
258,33314
259,33479
260,33000
261,33333
262,33138
263,33337
264,33202
265,33427
266,33040
267,33332
268,33387
269,33698
270,33505
271,33364
272,33690
273,33436
274,33467
275,33381
276,33236
277,33638
278,33543
279,33301
280,33373
281,33184
282,33212
283,33720
284,33338
285,33059
286,33403
287,33673
288,33439
289,33305
290,33416
291,33458
292,33495
293,33297
294,33731
295,33239
296,33402
297,33456
298,33734
299,33593
300,33531
301,33633
302,33275
303,33594
304,33577
305,33539
306,33658
307,33493
308,33414
309,33328
310,33215
311,33478
312,33419
313,33523
314,33943
315,33259
316,33423
317,33569
318,33676
319,33557
320,33456
321,33741
322,33400
323,32971
324,33122
325,33488
326,33345
327,33430
328,33300
329,33686
330,33370
331,33316
332,33984
333,33408
334,33423
335,33435
336,33364
337,33583
338,33439
339,33331
340,33578
341,33623
342,33645
343,33552
344,33213
345,33971
346,33434
347,33510
348,33448
349,33488
350,33188
351,33219
352,33421
353,33568
354,33650
355,33334
356,33323
357,33627
358,33156
359,33724
360,33153
361,33651
362,33325
363,33316
364,33586
365,32971
366,33400
367,33432
368,33016
369,33282
370,33298
371,33374
372,33444
373,33222
374,33167
375,33286
376,33068
377,32855
378,33526
379,33136
380,33225
381,33055
382,33561
383,33400
384,33209
385,33233
386,33165
387,32880
388,32668
389,32920
390,33236
391,32918
392,33079
393,32941
394,32915
395,33297
396,32881
397,33005
398,32783
399,32515
400,32404
401,32420
402,32607
403,32456
