Torr,K,dI
650.3,4.061,0.06
625.5,4.021,0.144706
599.7,3.98,0.238824
574.9,3.938,0.323529
551.3,3.898,0.422353
525.4,3.852,0.516471
500.6,3.807,0.605882
475,3.759,0.7049412
450,3.71,0.812941
424.3,3.657,0.921176
402,3.61,1.02
375.8,3.553,1.15176
350.1,3.493,1.26
325.9,3.435,1.38235
299.9,3.369,1.50941
275.3,3.302,1.65059
249.5,3.228,1.78235
226.1,3.157,1.93294
201.2,3.074,2.07882
176.2,2.984,2.23882
150.3,2.882,2.41294
125.7,2.772,2.59647
100.9,2.646,2.80353
76.9,2.501,3.03412
51,2.305,3.27412
31.5,2.105,3.57059
15.6,1.869,3.84824
7.8,1.68,4.0553
4.7,1.561,4.16353
3.5,1.498,4.20588
3.1,1.473,4.23412
